city,n_candidates,n_true_wh,mean_score,median_score,n_core,n_secondary,known_wh_density,model_opportunity_score
Portland,14,14,0.8974784837251065,0.9672252568384465,14,0,1.0,12.565
Poughkeepsie,3,3,0.9958537962415998,0.9995416396666835,3,0,1.0,2.988
Providence,4,3,0.7537901704440803,0.9963563610247657,3,0,0.75,2.261
Provo,2,2,0.9886130901503414,0.9886130901503414,2,0,1.0,1.977
Racine,1,1,0.9911873716252955,0.9911873716252955,1,0,1.0,0.991
Raleigh,3,3,0.996295921878274,0.9947805343269449,3,0,1.0,2.989
Reno,5,5,0.983904678786568,0.9995015918674344,5,0,1.0,4.92
Richmond,5,5,0.866239187631231,0.9966687662847055,5,0,1.0,4.331
Riverside,15,11,0.7268624389510256,0.9827060009236875,12,0,0.7333,8.722
Roanoke,1,1,0.9185341813576353,0.9185341813576353,1,0,1.0,0.919
Rochester,4,4,0.9296093959724523,0.9755778329196823,4,0,1.0,3.718
Rock Hill,1,1,0.9619702404289651,0.9619702404289651,1,0,1.0,0.962
Rockford,3,3,0.99794627830223,0.9987401552657735,3,0,1.0,2.994
Rocky Mount,2,2,0.9986609494561915,0.9986609494561915,2,0,1.0,1.997
Rural/Unknown,56,51,0.8670987398134887,0.970151126111937,54,0,0.9107,46.823
Sacramento,3,3,0.6959908291008535,0.8331016892786567,3,0,1.0,2.088
Salem,1,1,0.9756931383291565,0.9756931383291565,1,0,1.0,0.976
Salt Lake City,5,5,0.8493161834088714,0.9995416396666835,5,0,1.0,4.247
San Antonio,35,6,0.23885146427271065,0.06569109675502198,14,0,0.1714,3.344
San Bernardino,1,1,0.8056230893012982,0.8056230893012982,1,0,1.0,0.806
San Diego,4,4,0.9786005046561472,0.9802592095043339,4,0,1.0,3.914
San Jose,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Sanford,1,1,0.764861112106111,0.764861112106111,1,0,1.0,0.765
Santa Barbara,1,1,0.6913153814500228,0.6913153814500228,1,0,1.0,0.691
Santa Rosa,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Savannah,2,2,0.9981052029756945,0.9981052029756945,2,0,1.0,1.996
Schenectady,2,2,0.999521615767059,0.999521615767059,2,0,1.0,1.999
Scranton,3,3,0.9913913680957087,0.9966982350217282,3,0,1.0,2.974
Seattle,11,2,0.3273204205386425,0.11612939651126812,5,0,0.1818,1.637
Sheboygan,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Shreveport,4,0,0.4304836428095458,0.3662340757754812,3,0,0.0,1.291
Sioux City,1,1,0.9995416396666835,0.9995416396666835,1,0,1.0,1.0
Sioux Falls,2,2,0.9399989836066613,0.9399989836066613,2,0,1.0,1.88
Slidell,1,1,0.9864285023813869,0.9864285023813869,1,0,1.0,0.986
Southaven,3,3,0.9994632450195255,0.9995416396666835,3,0,1.0,2.998
Spartanburg,1,1,0.9089446659905562,0.9089446659905562,1,0,1.0,0.909
Spokane,2,2,0.9912871726409276,0.9912871726409276,2,0,1.0,1.983
Springfield,4,4,0.9668808142938371,0.9711929208843131,4,0,1.0,3.868
St.  Paul,1,1,0.903769625585624,0.903769625585624,1,0,1.0,0.904
St. Augustine,1,1,0.7896509514373049,0.7896509514373049,1,0,1.0,0.79
St. Charles,4,4,0.8189500366449811,0.9695174072585455,4,0,1.0,3.276
St. Cloud,2,2,0.95084564909653,0.95084564909653,2,0,1.0,1.902
