source,id,lat,lon,score,tier,osm_category,area_sqm,maps_link,model_version,scored_date,rank,score_adjusted,tier_adjusted
known_osm,neg_435,39.757697,-105.01635419168748,0.03208472182299055,Deprioritized,hotel,,"https://www.google.com/maps/@39.757697,-105.01635419168748,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1117,0.001,Deprioritized
overture_discovery,ov_56,32.97049488318412,-97.41150749794808,0.03201031636337871,Deprioritized,warehouse,46935.0,"https://www.google.com/maps/@32.97049488318412,-97.41150749794808,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1118,0.001,Deprioritized
known_osm,neg_419,35.46287685,-97.60288070023952,0.030450073445254085,Deprioritized,hotel,,"https://www.google.com/maps/@35.46287685,-97.60288070023952,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1119,0.001,Deprioritized
known_osm,neg_789,35.4089088,-80.67568795,0.030004166415090346,Deprioritized,playground,,"https://www.google.com/maps/@35.4089088,-80.67568795,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1120,0.001,Deprioritized
overture_discovery,ov_79,32.59626466090219,-97.38413094047488,0.028836416264954035,Deprioritized,commercial,40198.0,"https://www.google.com/maps/@32.59626466090219,-97.38413094047488,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1121,0.0009,Deprioritized
known_osm,neg_1406,47.2838159,-122.362427,0.028584566619615413,Deprioritized,wholesale,,"https://www.google.com/maps/@47.2838159,-122.362427,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1122,0.0009,Deprioritized
known_osm,neg_556,29.46721525,-98.59567454293791,0.027931263090839358,Deprioritized,school,,"https://www.google.com/maps/@29.46721525,-98.59567454293791,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1123,0.0009,Deprioritized
known_osm,neg_1028,43.6326993,-79.6426302227169,0.0278828083798389,Deprioritized,industrial,,"https://www.google.com/maps/@43.6326993,-79.6426302227169,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1124,0.0009,Deprioritized
known_osm,neg_450,47.67188295,-122.10967108229816,0.026713180994251403,Deprioritized,supermarket,,"https://www.google.com/maps/@47.67188295,-122.10967108229816,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1125,0.0009,Deprioritized
known_osm,neg_236,40.5114134,-74.8578473,0.026397358802558377,Deprioritized,restaurant,,"https://www.google.com/maps/@40.5114134,-74.8578473,18z/data=!3m1!1e3",finetune_hardneg_best,2026-05-10,1126,0.0009,Deprioritized
