pos_id,lat,lon,cluster_id,cluster_size,density_type
0000398,39.3063298,-84.41508569999999,74,19,small_cluster
0000399,39.1659659,-84.5194052,158,5,small_cluster
0000400,40.1315966,-74.7241325,26,44,dense_cluster
0000401,37.50839320000001,-77.34329699999999,60,11,small_cluster
0000402,49.1289506,-123.0929282,34,11,small_cluster
0000403,42.470209,-79.3232945,-1,0,isolated
0000404,34.8920842,-85.1221334,-1,0,isolated
0000405,33.4376508,-112.2316725,36,38,dense_cluster
0000406,41.9772593,-88.03257029999999,1,70,dense_cluster
0000407,40.7829041,-73.8541663,-1,0,isolated
0000408,36.0117445,-114.9550215,-1,0,isolated
0000409,32.6883313,-96.90738800000001,14,89,dense_cluster
0000410,25.8819195,-80.3761791,4,42,dense_cluster
0000411,44.9418295,-93.0745255,-1,0,isolated
0000412,39.4665815,-119.7740861,75,10,small_cluster
0000413,39.1004547,-94.3730889,-1,0,isolated
0000414,36.0573196,-79.7001495,-1,0,isolated
0000415,42.9119343,-73.68414419999999,-1,0,isolated
0000416,39.043535,-84.507018,55,23,dense_cluster
0000417,35.25821980000001,-80.97012079999999,30,12,small_cluster
0000418,45.8594158,-72.0620859,76,10,small_cluster
0000419,39.6189207,-77.8037445,148,6,small_cluster
0000420,40.7274334,-112.011308,20,29,dense_cluster
0000421,41.5254769,-81.65702019999999,-1,0,isolated
0000422,47.5264327,-121.9346073,-1,0,isolated
0000423,36.0440288,-80.15362879999999,12,7,small_cluster
0000424,33.7234437,-84.1191632,-1,0,isolated
0000425,43.1809007,-95.6567228,-1,0,isolated
0000426,35.2085136,-111.6020065,-1,0,isolated
0000427,35.2989738,-94.3763036,-1,0,isolated
0000428,44.7125541,-63.602496,-1,0,isolated
0000429,34.1524705,-84.7660038,-1,0,isolated
0000430,43.0165123,-83.00995189999999,-1,0,isolated
0000431,41.2881194,-75.7422504,5,9,small_cluster
0000432,31.3130993,-86.4941269,-1,0,isolated
0000433,35.5554213,-78.38478429999999,-1,0,isolated
0000434,44.3279797,-88.9324176,-1,0,isolated
0000435,32.6997159,-83.6678025,-1,0,isolated
0000436,31.4851534,-97.1800363,77,5,small_cluster
0000437,40.7892537,-112.0265244,20,29,dense_cluster
0000438,43.6575186,-79.66725269999999,7,69,dense_cluster
0000439,39.5381522,-119.7047078,75,10,small_cluster
0000440,34.9905684,-89.79762989999999,78,37,dense_cluster
0000441,41.3206017,-75.7092151,5,9,small_cluster
0000442,40.71294779999999,-73.3954184,107,7,small_cluster
0000443,41.4379409,-81.56627189999999,73,8,small_cluster
0000444,45.5586379,-122.4934271,79,11,small_cluster
0000445,46.8565288,-100.9307186,-1,0,isolated
0000446,32.9027548,-96.90036409999999,14,89,dense_cluster
0000447,45.099356,-87.598469,-1,0,isolated
0000448,38.5658906,-90.3707087,-1,0,isolated
0000449,34.005249,-84.6146411,80,10,small_cluster
0000450,42.73552430000001,-84.542204,-1,0,isolated
0000451,44.0094767,-116.967605,-1,0,isolated
0000452,38.9486569,-94.7462549,71,8,small_cluster
0000453,35.0019115,-89.8630841,78,37,dense_cluster
0000454,39.0103721,-77.4636213,81,11,small_cluster
0000455,40.110197,-74.981123,26,44,dense_cluster
0000456,30.63721499999999,-81.56509779999999,-1,0,isolated
0000457,34.9891045,-89.7977434,78,37,dense_cluster
0000458,45.6164843,-122.6332004,79,11,small_cluster
0000459,45.8859735,-72.5145991,49,6,small_cluster
0000460,31.4993297,-97.1960815,77,5,small_cluster
0000461,32.7735658,-96.859729,14,89,dense_cluster
0000462,39.7905387,-104.9373397,82,24,dense_cluster
0000463,36.0170936,-83.2038662,-1,0,isolated
0000464,40.3663231,-82.48906219999999,-1,0,isolated
0000465,41.1818897,-96.1267598,16,24,dense_cluster
0000466,31.6056344,-106.4038795,-1,0,isolated
0000467,33.6940474,-84.60702649999999,51,24,dense_cluster
0000468,39.1565082,-94.48843749999999,33,29,dense_cluster
0000469,39.1427154,-94.5075363,33,29,dense_cluster
0000470,33.1503931,-117.1625956,83,9,small_cluster
0000471,40.0871333,-82.7510649,42,14,small_cluster
0000472,47.4544526,-122.2208958,84,23,dense_cluster
0000473,43.2436779,-81.1363248,-1,0,isolated
0000474,49.1703635,-122.6765057,-1,0,isolated
0000475,39.98146819999999,-76.6689758,85,9,small_cluster
0000476,39.2966694,-84.4332317,74,19,small_cluster
0000477,32.3995977,-86.2312712,86,5,small_cluster
0000478,49.0551137,-122.704867,-1,0,isolated
0000479,4.7585467,-74.1563313,-1,0,isolated
0000480,27.940613,-82.3949249,87,12,small_cluster
0000481,39.5209323,-84.4079459,-1,0,isolated
0000482,45.2192336,-96.64044650000001,-1,0,isolated
0000483,42.6722078,-84.5081732,-1,0,isolated
0000484,40.20996299999999,-76.0850035,-1,0,isolated
0000485,32.7977271,-96.9959243,14,89,dense_cluster
0000486,52.5278899,-0.300448,-1,0,isolated
0000487,35.4958195,-97.90635089999999,-1,0,isolated
0000488,36.0043041,-78.9395871,-1,0,isolated
0000489,43.6079901,-79.500936,-1,0,isolated
0000490,39.1516199,-77.2147821,-1,0,isolated
0000491,40.3145526,-79.4881406,-1,0,isolated
0000492,53.3262016,-6.3179544,-1,0,isolated
0000493,38.0190948,-87.52742529999999,-1,0,isolated
0000494,39.2036349,-94.4554227,33,29,dense_cluster
0000495,39.0551271,-94.51639709999999,33,29,dense_cluster
0000496,45.6106648,-122.6992449,88,8,small_cluster
0000497,30.6077213,-81.5985881,-1,0,isolated
0000498,40.7816614,-112.0194019,20,29,dense_cluster
0000499,36.684782,-119.7282869,89,10,small_cluster
0000500,19.6341345,-99.1520858,90,5,small_cluster
0000501,30.0053718,-90.16261370000001,-1,0,isolated
0000502,43.7628215,-79.5396242,7,69,dense_cluster
0000503,49.18941359999999,-123.0722352,34,11,small_cluster
0000504,44.0897492,-93.2469588,-1,0,isolated
0000505,46.10767999999999,-64.71131,-1,0,isolated
0000506,43.8056454,-79.51796159999999,7,69,dense_cluster
0000507,33.9383645,-117.1719758,15,87,dense_cluster
0000508,43.094372,-77.5914191,-1,0,isolated
0000509,40.1868298,-74.79708169999999,26,44,dense_cluster
0000510,41.3098059,-84.34613,-1,0,isolated
