pos_id,lat,lon,source_file
0000172,38.8044704,-77.115257,warehouses_cleaned_0.kml
0000173,31.5828848,-84.0689357,warehouses_cleaned_0.kml
0000174,38.7583522,-90.4506227,warehouses_cleaned_0.kml
0000175,27.3901793,-82.5031922,warehouses_cleaned_0.kml
0000176,40.5184105,-104.9894423,warehouses_cleaned_0.kml
0000177,42.4638093,-71.0267475,warehouses_cleaned_0.kml
0000178,38.2236258,-122.1316606,warehouses_cleaned_0.kml
0000179,43.5606361,-89.50294439999999,warehouses_cleaned_0.kml
0000180,41.0725154,-81.53612269999999,warehouses_cleaned_0.kml
0000181,35.316343,-80.8360958,warehouses_cleaned_0.kml
0000182,34.0928281,-117.3818703,warehouses_cleaned_0.kml
0000183,40.1636469,-105.0382163,warehouses_cleaned_0.kml
0000184,42.28035939999999,-87.9396886,warehouses_cleaned_0.kml
0000185,34.7706598,-92.24897750000001,warehouses_cleaned_0.kml
0000186,41.4159751,-84.095894,warehouses_cleaned_0.kml
0000187,26.1880122,-98.2344772,warehouses_cleaned_0.kml
0000188,39.7439405,-84.6366201,warehouses_cleaned_0.kml
0000189,41.9175182,-88.1191879,warehouses_cleaned_0.kml
0000190,41.6516592,-93.56502979999999,warehouses_cleaned_0.kml
0000191,29.3577062,-100.9309044,warehouses_cleaned_0.kml
0000192,41.64934909999999,-93.5614149,warehouses_cleaned_0.kml
0000193,41.872948,-72.71991560000001,warehouses_cleaned_0.kml
0000194,44.2613958,-88.364302,warehouses_cleaned_0.kml
0000195,32.1785597,-81.1779282,warehouses_cleaned_0.kml
0000196,45.8864039,-72.51635710000001,warehouses_cleaned_0.kml
0000197,40.3463569,-111.7656214,warehouses_cleaned_0.kml
0000198,40.3393527,-111.7542748,warehouses_cleaned_0.kml
0000199,25.7917641,-80.3914382,warehouses_cleaned_0.kml
0000200,41.1318254,-80.70142369999999,warehouses_cleaned_0.kml
0000201,30.205331,-97.71764519999999,warehouses_cleaned_0.kml
0000202,33.7070461,-117.9294827,warehouses_cleaned_0.kml
0000203,41.1029467,-81.4838843,warehouses_cleaned_0.kml
0000204,39.0024232,-95.2610296,warehouses_cleaned_0.kml
0000205,28.6775822,-100.4602948,warehouses_cleaned_0.kml
0000206,52.908218,-106.996565,warehouses_cleaned_0.kml
0000207,42.835701,-91.804737,warehouses_cleaned_0.kml
0000208,30.3351896,-97.6740566,warehouses_cleaned_0.kml
0000209,33.7665696,-84.6306587,warehouses_cleaned_0.kml
0000210,32.0449759,-81.07098110000001,warehouses_cleaned_0.kml
0000211,39.9080601,-86.2347233,warehouses_cleaned_0.kml
0000212,43.65594830000001,-79.6999714,warehouses_cleaned_0.kml
0000213,32.7870943,-96.6741354,warehouses_cleaned_0.kml
0000214,40.7139009,-73.9192289,warehouses_cleaned_0.kml
0000215,39.9941449,-82.85096279999999,warehouses_cleaned_0.kml
0000216,33.0176174,-96.714838,warehouses_cleaned_0.kml
0000217,32.9902409,-96.9318466,warehouses_cleaned_0.kml
0000218,43.1877647,-79.83524249999999,warehouses_cleaned_0.kml
0000219,37.9997937,-122.3369357,warehouses_cleaned_0.kml
0000220,34.0343849,-117.5101403,warehouses_cleaned_0.kml
