landuse,lat,lon,city_found,sample_method,name,wikipedia,crop,source,operator,produce,addr:housenumber,addr:street,building,website,access,type,natural,water,irrigated,managed,massgis:IT_VALC,massgis:IT_VALDESC,massgis:OBJECTID,massgis:PALIS_ID,massgis:POLY_CODE,massgis:SOURCE,massgis:SOURCE_SCA,massgis:WETCODE,seasonal,LandPro08:DE3,LandPro08:LC_NAME,LandPro08:LU_NAME,LandPro08:reviewed,addr:city,addr:postcode,addr:state,amenity,email,fax,operator:type,phone,note,plat,CLC:code,CLC:id,CLC:year,agricultural,massgis:ALT_SITE_N,massgis:ARTICLE97,massgis:ASSESS_ACR,massgis:ASSESS_LOT,massgis:ASSESS_MAP,massgis:ATT_DATE,massgis:CAL_DATE_R,massgis:COMMENTS,massgis:DCAM_ID,massgis:DEED_ACRES,massgis:EOEAINVOLV,massgis:FEESYM,massgis:FEE_OWNER,massgis:FY_FUNDING,massgis:INTSYM,massgis:LEV_PROT,massgis:OLI_1_ABRV,massgis:OLI_1_INT,massgis:OLI_1_ORG,massgis:OLI_1_TYPE,massgis:OS_DEED_BO,massgis:OS_DEED_PA,massgis:OS_ID,massgis:OWNER_TYPE,massgis:POLY_ID,massgis:PRIM_PURP,massgis:PROJ_ID1,massgis:PUB_ACCESS,massgis:SITE_NAME,massgis:SOURCE_TYP,massgis:TOWN_ID,owner,ownership,protected,start_date,massgis:BASE_MAP,massgis:OWNER_ABRV,massgis:SOURCE_MAP,area,massgis:OLI_2_ABRV,massgis:OLI_2_INT,massgis:OLI_2_ORG,massgis:OLI_2_TYPE,massgis:PROJ_ID2,zoning,created_by,massgis:ASSESS_BLK,massgis:ASSESS_SUB,massgis:LOC_ID,leisure,CLC:explanation,CLC:shapeId,source:ro,fixme,ele,gnis:feature_id,place,wikidata,NHD:Elevation,NHD:FCode,NHD:FDate,NHD:FTYPE,NHD:ReachCode,FMMP_modified,FMMP_reviewed,acres,addr:county,attribution,description,opening_hours,shop,wheelchair,name:fr,sport,surface
farmland,33.0028934,-111.9717687,Maricopa,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,33.8504293,-112.0292945,Cave Creek,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.5877731,-114.7120097,Somerton,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.605631,-114.7056479,Somerton,city,Johnson of Somerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.5856869,-114.6968392,Somerton,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.5928825,-114.6968821,Somerton,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,32.593047,-114.6883955,Somerton,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,37.6510663,-98.1241711,Kingman,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,37.6487144,-98.1286114,Kingman,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farmland,37.644109,-98.0964122,Kingman,city,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
